oricls newcls
0 0
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
10 10
11 11
12 12
13 13
14 14
16 15
17 16
18 17
19 18
20 19
21 20
22 21
23 22
24 23
25 24
26 25
27 26
28 27
29 28
30 29
31 30
32 31
33 32
34 33
35 34
36 35
37 36
38 37
39 38
40 39
41 40
42 41
43 42
45 43
46 44
47 45
48 46
49 47
50 48
51 49
52 50
53 51
54 52
57 53
59 54
60 55
61 56
62 57
63 58
64 59
65 60
66 61
67 62
68 63
69 64
70 65
71 66
72 67
73 68
74 69
75 70
76 71
77 72
78 73
79 74
80 75
81 76
82 77
83 78
84 79
85 80
86 81
87 82
88 83
94 84
95 85
97 86
101 87
109 88
111 89
114 90
115 91
120 92
123 93
126 94
127 95
128 96
129 97
132 98
133 99
